,topic,subtopic,video,video_length_[mins],video_length_[hrs]
443,06 Microbiology 29h21m,03 Viruses,21 Negative-Sense RNA Viruses - Negative-Sense RNA Viruses.mp4,6.58,0.11
444,06 Microbiology 29h21m,03 Viruses,22 Negative-Sense RNA Viruses - Paramyxoviridae.mp4,17.06,0.28
445,06 Microbiology 29h21m,03 Viruses,23 Negative-Sense RNA Viruses - Rhabdoviridae.mp4,9.9,0.16
446,06 Microbiology 29h21m,03 Viruses,24 Negative-Sense RNA Viruses - Filoviridae.mp4,8.31,0.14
447,06 Microbiology 29h21m,03 Viruses,25 Negative-Sense RNA Viruses - Orthomyxoviridae.mp4,19.26,0.32
448,06 Microbiology 29h21m,03 Viruses,26 Negative-Sense RNA Viruses - Bunyaviridae and Arenaviridae.mp4,8.26,0.14
449,06 Microbiology 29h21m,03 Viruses,27 Negative-Sense RNA Viruses - Double-Stranded RNA and Slow Conventional Viruses.mp4,6.52,0.11
450,06 Microbiology 29h21m,03 Viruses,28 Prion Diseases - Prion Diseases.mp4,4.87,0.08
451,06 Microbiology 29h21m,04 Fungi,01 Mycology and Fungal Morphology.mp4,11.73,0.2
452,06 Microbiology 29h21m,04 Fungi,02 Diagnosis.mp4,8.4,0.14
453,06 Microbiology 29h21m,04 Fungi,03 Superficial Fungal Infections.mp4,7.35,0.12
454,06 Microbiology 29h21m,04 Fungi,04 Cutaneous Fungal Infections.mp4,9.9,0.16
455,06 Microbiology 29h21m,04 Fungi,05 Subcutaneous Mycoses.mp4,4.94,0.08
456,06 Microbiology 29h21m,04 Fungi,06 Systemic Fungal Infections-Overview.mp4,4.87,0.08
457,06 Microbiology 29h21m,04 Fungi,07 Histoplasma capsulatum.mp4,9.55,0.16
458,06 Microbiology 29h21m,04 Fungi,08 Coccidioides immitis.mp4,6.23,0.1
459,06 Microbiology 29h21m,04 Fungi,09 Blastomyces dermatitidis.mp4,6.7,0.11
460,06 Microbiology 29h21m,04 Fungi,10 Paracoccidioides brasiliensis.mp4,4.54,0.08
461,06 Microbiology 29h21m,04 Fungi,11 Opportunistic Fungi.mp4,28.61,0.48
462,06 Microbiology 29h21m,05 Parasitology,01 Medical Parasitology - Classification of Parasites_ Overview.mp4,9.39,0.16
463,06 Microbiology 29h21m,05 Parasitology,02 Medical Parasitology - Important Protozoan Parasites.mp4,19.31,0.32
464,06 Microbiology 29h21m,05 Parasitology,03 Medical Parasitology - Free Living Amoeba.mp4,5.64,0.09
465,06 Microbiology 29h21m,05 Parasitology,04 Medical Parasitology - Plasmodium.mp4,17.78,0.3
466,06 Microbiology 29h21m,05 Parasitology,05 Medical Parasitology - Hemoflagellates.mp4,10.25,0.17
467,06 Microbiology 29h21m,05 Parasitology,06 Medical Parasitology - Miscellaneous Apicomplexa.mp4,9.45,0.16
468,06 Microbiology 29h21m,05 Parasitology,07 Medical Parasitology - Nematodes.mp4,25.83,0.43
469,06 Microbiology 29h21m,05 Parasitology,08 Medical Parasitology - Trematodes.mp4,8.84,0.15
470,06 Microbiology 29h21m,05 Parasitology,09 Medical Parasitology - Cestodes.mp4,10.74,0.18
471,06 Microbiology 29h21m,06 Infectious Disease,01 Clinical Infectious Disease - Clinical Infectious Disease.mp4,8.49,0.14
472,06 Microbiology 29h21m,07 Comparative Microbiology,01 Comparative Microbiology - Comparative Microbiology.mp4,7.01,0.12
473,06 Microbiology 29h21m,08 Clinical Correlates & Animations,01 Reye Syndrome.mp4,13.43,0.22
474,06 Microbiology 29h21m,08 Clinical Correlates & Animations,02 Rheumatic Fever.mp4,18.54,0.31
475,07 Physiology 34h33m,01 Fluid & Edema,01 Fluid Distribution and Edema - Total Body Water.mp4,4.55,0.08
476,07 Physiology 34h33m,01 Fluid & Edema,02 Fluid Distribution and Edema - Osmosis.mp4,5.48,0.09
477,07 Physiology 34h33m,01 Fluid & Edema,03 Fluid Distribution and Edema - Extracellular Solutes.mp4,3.84,0.06
478,07 Physiology 34h33m,01 Fluid & Edema,04 Fluid Distribution and Edema - Osmolar Gap.mp4,8.06,0.13
479,07 Physiology 34h33m,01 Fluid & Edema,05 Fluid Distribution and Edema - Graphical Representation of Body Compartments.mp4,5.26,0.09
480,07 Physiology 34h33m,01 Fluid & Edema,06 Fluid Distribution and Edema - Changes in Volume Concentration - Part 1.mp4,8.79,0.15
481,07 Physiology 34h33m,01 Fluid & Edema,07 Fluid Distribution and Edema - Changes in Volume Concentration - Part 2.mp4,14.9,0.25
482,07 Physiology 34h33m,01 Fluid & Edema,08 Fluid Distribution and Edema - Changes in Volume Concentration - Questions.mp4,5.6,0.09
483,07 Physiology 34h33m,01 Fluid & Edema,09 Fluid Distribution and Edema - Integration of Volume Regulation.mp4,7.41,0.12
484,07 Physiology 34h33m,01 Fluid & Edema,10 Fluid Distribution and Edema - Filtration and Absorption.mp4,9.37,0.16
485,07 Physiology 34h33m,01 Fluid & Edema,11 Fluid Distribution and Edema - Causes of Peripheral Edema.mp4,7.77,0.13
486,07 Physiology 34h33m,01 Fluid & Edema,12 Fluid Distribution and Edema - Pulmonary Edema.mp4,5.18,0.09
487,07 Physiology 34h33m,01 Fluid & Edema,13 Fluid Distribution and Edema - Volume Measurements.mp4,4.29,0.07
488,07 Physiology 34h33m,02 Excitable Tissue,01 Excitable Tissue - Ionic Equilibrium and Resting Membrane Potential.mp4,42.07,0.7
489,07 Physiology 34h33m,02 Excitable Tissue,02 Excitable Tissue - The Neuron Action Potential and Synaptic Transmission.mp4,66.99,1.12
490,07 Physiology 34h33m,02 Excitable Tissue,03 Excitable Tissue - Electrical Activity of the Heart.mp4,30.4,0.51
491,07 Physiology 34h33m,02 Excitable Tissue,04 Excitable Tissue - Electrocardiology.mp4,46.22,0.77
492,07 Physiology 34h33m,03 Muscle,01 Muscle - Excitation-Contraction Coupling.mp4,34.51,0.58
493,07 Physiology 34h33m,03 Muscle,02 Muscle - Skeletal Muscle Mechanics.mp4,25.91,0.43
494,07 Physiology 34h33m,04 Cardiovascular,01 Cardiovascular Mechanics - Systolic Performance of the Ventricle.mp4,34.03,0.57
495,07 Physiology 34h33m,04 Cardiovascular,02 Cardiovascular Mechanics - Ventricular Function Curves.mp4,23.92,0.4
496,07 Physiology 34h33m,04 Cardiovascular,03 Cardiovascular Mechanics - Chronic Changes-Systolic and Diastolic Dysfunction.mp4,14.61,0.24
497,07 Physiology 34h33m,04 Cardiovascular,04 Cardiovascular Mechanics - General Aspects of the Cardiovascular System.mp4,68.75,1.15
498,07 Physiology 34h33m,04 Cardiovascular,05 Cardiovascular Mechanics - Determinants of Cardiac Output.mp4,33.55,0.56
499,07 Physiology 34h33m,04 Cardiovascular,06 Cardiovascular Mechanics - Cardiopulmonary Mechanoreceptors.mp4,40.32,0.67
500,07 Physiology 34h33m,04 Cardiovascular,07 Regulation of Blood Flow and Pressure - Regulation of Blood Flow and Pressure.mp4,72.32,1.21
501,07 Physiology 34h33m,04 Cardiovascular,08 Cardiac Cycle and Valvular Heart Disease - Cardiac Cycle and Valvular Heart Disease.mp4,59.14,0.99
502,07 Physiology 34h33m,05 Respiration,"01 Lung Mechanics - Lung Volumes, Ventilation, Inspiration.mp4",40.26,0.67
503,07 Physiology 34h33m,05 Respiration,"02 Lung Mechanics - Expiration, Lung Compliance, Pulmonary Function Testing.mp4",51.73,0.86
504,07 Physiology 34h33m,05 Respiration,03 Alveolar-Blood Gas Exchange - Alveolar-Blood Gas Exchange.mp4,25.95,0.43
505,07 Physiology 34h33m,05 Respiration,04 Transport of O2 and CO2 and the Regulation of Ventilation - Transport of O2 and CO2 and the Regulation of Ventilation.mp4,41.56,0.69
506,07 Physiology 34h33m,05 Respiration,05 Causes and Evaluation of Hypoxemia - Causes and Evaluation of of Hypoxemia.mp4,40.02,0.67
507,07 Physiology 34h33m,06 Renal,01 Renal Structure and Glomerular Filtration - Overview of the Renal System.mp4,36.26,0.6
508,07 Physiology 34h33m,06 Renal,02 Renal Structure and Glomerular Filtration - Factors Determining Filtration Pressure.mp4,27.82,0.46
509,07 Physiology 34h33m,06 Renal,03 Renal Structure and Glomerular Filtration - Filtration Fraction.mp4,24.89,0.41
510,07 Physiology 34h33m,06 Renal,04 Solute Transport - Transport Mechanisms and Clearance.mp4,29.72,0.5
511,07 Physiology 34h33m,06 Renal,05 Solute Transport - Reabsorption and Secretion.mp4,40.04,0.67
512,07 Physiology 34h33m,06 Renal,06 Clinical Estimation of GFR and Patterns of Clearance - Clinical Estimation of GFR and Patterns of Clearance.mp4,25.48,0.42
513,07 Physiology 34h33m,06 Renal,07 Regional Transport - Proximal Tubule and Loop of Henle.mp4,41.94,0.7
514,07 Physiology 34h33m,06 Renal,08 Regional Transport - Distal Tubule and Collecting Ducts.mp4,29.78,0.5
515,07 Physiology 34h33m,06 Renal,09 Regional Transport - Associated Pathologies.mp4,43.34,0.72
516,07 Physiology 34h33m,06 Renal,10 Acid Base Disturbances - Buffering Systems.mp4,32.46,0.54
517,07 Physiology 34h33m,06 Renal,11 Acid Base Disturbances - Plasma Anion Gap and Davenport Plots.mp4,30.23,0.5
518,07 Physiology 34h33m,06 Renal,12 Acid Base Disturbances - Review Questions.mp4,14.54,0.24
519,07 Physiology 34h33m,07 Endocrinology,01 General Aspects of the Endocrine System - General Aspects of the Endocrine System.mp4,30.16,0.5
520,07 Physiology 34h33m,07 Endocrinology,02 Anterior and Posterior Pituitary - Hypothalamic-Anterior Pituitary System.mp4,26.06,0.43
521,07 Physiology 34h33m,07 Endocrinology,03 Anterior and Posterior Pituitary - Posterior Pituitary.mp4,35.94,0.6
522,07 Physiology 34h33m,07 Endocrinology,04 Functional Adrenals - Regions and Steroid Hormone Synthesis.mp4,21.9,0.36
523,07 Physiology 34h33m,07 Endocrinology,05 Functional Adrenals - Physiologic Actions of Glucocorticoids.mp4,13.75,0.23
524,07 Physiology 34h33m,07 Endocrinology,06 Functional Adrenals - Physiologic Actions of Aldosterone.mp4,18.77,0.31
525,07 Physiology 34h33m,07 Endocrinology,07 Functional Adrenals - Glucocorticoid Disorders.mp4,27.42,0.46
526,07 Physiology 34h33m,07 Endocrinology,08 Functional Adrenals - Mineralocorticoid Disorders.mp4,11.58,0.19
527,07 Physiology 34h33m,07 Endocrinology,09 Functional Adrenals - Enzyme Deficiencies.mp4,18.16,0.3
528,07 Physiology 34h33m,07 Endocrinology,10 Functional Adrenals - Adrenal Medulla.mp4,12.53,0.21
529,07 Physiology 34h33m,07 Endocrinology,11 Endocrine Pancreas - Insulin and Glucagon.mp4,26.8,0.45
530,07 Physiology 34h33m,07 Endocrinology,12 Endocrine Pancreas - Diabetes Mellitus.mp4,23.47,0.39
531,07 Physiology 34h33m,07 Endocrinology,13 Hormonal Control of Calcium and Phosphate - Overview.mp4,20.55,0.34
532,07 Physiology 34h33m,07 Endocrinology,14 Hormonal Control of Calcium and Phosphate - Disorders.mp4,23.58,0.39
533,07 Physiology 34h33m,07 Endocrinology,15 Thyroid Hormones - Biosynthesis and Transport.mp4,24.75,0.41
534,07 Physiology 34h33m,07 Endocrinology,16 Thyroid Hormones - Pathologic Changes.mp4,16.54,0.28
535,07 Physiology 34h33m,07 Endocrinology,"17 Growth, Growth Hormone and Puberty - Growth, Growth Hormone and Puberty.mp4",17.84,0.3
536,07 Physiology 34h33m,07 Endocrinology,18 Reproductive Endocrinology - Male Reproductive System.mp4,20.2,0.34
537,07 Physiology 34h33m,07 Endocrinology,19 Reproductive Endocrinology - Menstrual Cycle.mp4,19.66,0.33
538,07 Physiology 34h33m,07 Endocrinology,20 Reproductive Endocrinology - Female Sex Steroids.mp4,18.39,0.31
539,07 Physiology 34h33m,07 Endocrinology,21 Reproductive Endocrinology - Pregnancy.mp4,31.12,0.52
540,07 Physiology 34h33m,08 Gastrointestinal,01 Gastrointestinal Physiology - Overview of the Gastrointestinal Tract and Nervous Control.mp4,7.25,0.12
541,07 Physiology 34h33m,08 Gastrointestinal,02 Gastrointestinal Physiology - Endocrine Control.mp4,8.83,0.15
542,07 Physiology 34h33m,08 Gastrointestinal,03 Gastrointestinal Physiology - Characteristics of Smooth Muscle.mp4,7.56,0.13
543,07 Physiology 34h33m,08 Gastrointestinal,04 Gastrointestinal Physiology - Swallowing.mp4,5.35,0.09
544,07 Physiology 34h33m,08 Gastrointestinal,05 Gastrointestinal Physiology - Disorders of the Esophagus.mp4,8.85,0.15
545,07 Physiology 34h33m,08 Gastrointestinal,06 Gastrointestinal Physiology - GI Motility and Defecation.mp4,9.48,0.16
546,07 Physiology 34h33m,08 Gastrointestinal,07 Gastrointestinal Physiology - Salivary Secretions.mp4,4.45,0.07
547,07 Physiology 34h33m,08 Gastrointestinal,08 Gastrointestinal Physiology - Gastric Secretions.mp4,6.7,0.11
548,07 Physiology 34h33m,08 Gastrointestinal,09 Gastrointestinal Physiology - Pancreatic Secretions.mp4,5.23,0.09
549,07 Physiology 34h33m,08 Gastrointestinal,10 Gastrointestinal Physiology - Composition and Formation of Bile.mp4,14.25,0.24
550,07 Physiology 34h33m,08 Gastrointestinal,11 Gastrointestinal Physiology - Small Intestine Secretions.mp4,4.39,0.07
551,07 Physiology 34h33m,08 Gastrointestinal,12 Gastrointestinal Physiology - Digestion and Absorption of Carbohydrates and Proteins.mp4,7.5,0.12
552,07 Physiology 34h33m,08 Gastrointestinal,13 Gastrointestinal Physiology - Lipid Absorption.mp4,5.81,0.1
553,07 Physiology 34h33m,08 Gastrointestinal,14 Gastrointestinal Physiology - Electrolytes.mp4,6.22,0.1
554,07 Physiology 34h33m,09 Clinical Correlates & Animations,01 Fetal Lung Maturity.mp4,17.96,0.3
555,07 Physiology 34h33m,09 Clinical Correlates & Animations,02 Hypertrophic Cardiomyopathy.mp4,19.97,0.33
556,07 Physiology 34h33m,09 Clinical Correlates & Animations,03 Respiration.mp4,5.39,0.09
557,07 Physiology 34h33m,09 Clinical Correlates & Animations,04 Neuromuscular Junction.mp4,8.35,0.14
558,07 Physiology 34h33m,09 Clinical Correlates & Animations,05 Biosynthetic Pathways of Adrenal Steroid Hormones.mp4,20.75,0.35
559,07 Physiology 34h33m,09 Clinical Correlates & Animations,06 Cardiac Action Potential.mp4,11.54,0.19
560,07 Physiology 34h33m,09 Clinical Correlates & Animations,07 Renal Tubular Acidosis.mp4,9.47,0.16
561,07 Physiology 34h33m,09 Clinical Correlates & Animations,08 Control of Gastric Acid Secretions.mp4,7.02,0.12
562,07 Physiology 34h33m,Fluid & Edema (2019),01 Fluid Distribution and Edema.mp4,39.05,0.65
563,07 Physiology 34h33m,Gastrointestinal (2019),01 Overview of the GI Tract.mp4,17.95,0.3
564,07 Physiology 34h33m,Gastrointestinal (2019),02 Motility.mp4,26.14,0.44
565,07 Physiology 34h33m,Gastrointestinal (2019),03 Salivary and Gastric Secretions.mp4,21.2,0.35
566,07 Physiology 34h33m,Gastrointestinal (2019),"04 Pancreatic, Bile and Small Intestine Secretions.mp4",33.51,0.56
567,07 Physiology 34h33m,Gastrointestinal (2019),"05 Digestion, Absorption, Electrolytes and Diarrhea.mp4",13.85,0.23
568,08 Pathology 51h57m,01 Pathophysiology,01 Fundamentals of Pathology - Definitions of Pathology.mp4,5.89,0.1
569,08 Pathology 51h57m,01 Pathophysiology,02 Fundamentals of Pathology - Overview of Pathology.mp4,6.16,0.1
570,08 Pathology 51h57m,01 Pathophysiology,03 Fundamentals of Pathology - Methods Used in Pathology.mp4,22.78,0.38
571,08 Pathology 51h57m,01 Pathophysiology,04 Cellular Injury and Adaptation - Causes of Cellular Injury.mp4,21.11,0.35
572,08 Pathology 51h57m,01 Pathophysiology,05 Cellular Injury and Adaptation - Cellular Changes During Injury.mp4,35.97,0.6
573,08 Pathology 51h57m,01 Pathophysiology,06 Cellular Injury and Adaptation - Cell Death.mp4,34.47,0.57
574,08 Pathology 51h57m,01 Pathophysiology,07 Cellular Injury and Adaptation - Cellular Adaptive Responses to Injury.mp4,21.04,0.35
575,08 Pathology 51h57m,01 Pathophysiology,08 Cellular Injury and Adaptation - Other Cellular Alterations during Injury.mp4,20.36,0.34
576,08 Pathology 51h57m,01 Pathophysiology,09 Inflammation - Acute Inflammation.mp4,9.61,0.16
577,08 Pathology 51h57m,01 Pathophysiology,10 Inflammation - Neutrophils.mp4,30.71,0.51
578,08 Pathology 51h57m,01 Pathophysiology,11 Inflammation - Chemical Mediators of Inflammation.mp4,12.4,0.21
579,08 Pathology 51h57m,01 Pathophysiology,12 Inflammation - Four Outcomes of Acute Inflammation.mp4,2.99,0.05
580,08 Pathology 51h57m,01 Pathophysiology,13 Inflammation - Chronic Inflammation.mp4,19.19,0.32
581,08 Pathology 51h57m,01 Pathophysiology,14 Inflammation - Tissue Responses to Infectious Agents.mp4,10.77,0.18
582,08 Pathology 51h57m,01 Pathophysiology,15 Tissue Repair - Regeneration and Healing.mp4,24.15,0.4
583,08 Pathology 51h57m,01 Pathophysiology,16 Tissue Repair - Aberrations in Wound Healing.mp4,2.21,0.04
584,08 Pathology 51h57m,01 Pathophysiology,17 Connective Tissue Components.mp4,5.75,0.1
585,08 Pathology 51h57m,01 Pathophysiology,18 Circulatory Pathology - Edema (Circulatory Pathology).mp4,10.67,0.18
586,08 Pathology 51h57m,01 Pathophysiology,19 Circulatory Pathology - Hemostasis and Bleeding Disorders.mp4,48.88,0.81
587,08 Pathology 51h57m,01 Pathophysiology,20 Circulatory Pathology - Thrombosis.mp4,13.12,0.22
588,08 Pathology 51h57m,01 Pathophysiology,21 Circulatory Pathology - Embolism.mp4,12.07,0.2
589,08 Pathology 51h57m,01 Pathophysiology,22 Circulatory Pathology - Infarction.mp4,7.66,0.13
590,08 Pathology 51h57m,01 Pathophysiology,23 Circulatory Pathology - Shock.mp4,12.69,0.21
591,08 Pathology 51h57m,01 Pathophysiology-Dr. Barone,01 Definitions of Pathology.mp4,2.85,0.05
592,08 Pathology 51h57m,01 Pathophysiology-Dr. Barone,02 Overview of Pathology.mp4,1.2,0.02
593,08 Pathology 51h57m,01 Pathophysiology-Dr. Barone,03 Methods Used in Pathology.mp4,22.78,0.38
594,08 Pathology 51h57m,01 Pathophysiology-Dr. Barone,04 Causes of Cellular Injury.mp4,8.59,0.14
595,08 Pathology 51h57m,01 Pathophysiology-Dr. Barone,05 Cellular Changes During Injury.mp4,13.34,0.22
596,08 Pathology 51h57m,01 Pathophysiology-Dr. Barone,06 Cell Death.mp4,20.51,0.34
597,08 Pathology 51h57m,01 Pathophysiology-Dr. Barone,07 Cellular Adaptive Responses to Injury.mp4,10.79,0.18
598,08 Pathology 51h57m,01 Pathophysiology-Dr. Barone,08 Other Cellular Alterations During Injury.mp4,12.37,0.21
599,08 Pathology 51h57m,01 Pathophysiology-Dr. Barone,09 Acute Inflammation.mp4,1.34,0.02
600,08 Pathology 51h57m,01 Pathophysiology-Dr. Barone,10 Neutrophils.mp4,17.48,0.29
601,08 Pathology 51h57m,01 Pathophysiology-Dr. Barone,11 Chemical Mediators of Inflammation.mp4,5.21,0.09
602,08 Pathology 51h57m,01 Pathophysiology-Dr. Barone,12 Four Outcomes of Acute Inflammation.mp4,0.63,0.01
603,08 Pathology 51h57m,01 Pathophysiology-Dr. Barone,13 Chronic Inflammation.mp4,5.14,0.09
604,08 Pathology 51h57m,01 Pathophysiology-Dr. Barone,14 Tissue Responses to Infectious Agents.mp4,9.11,0.15
605,08 Pathology 51h57m,01 Pathophysiology-Dr. Barone,15 Regeneration and Repair.mp4,8.88,0.15
606,08 Pathology 51h57m,01 Pathophysiology-Dr. Barone,16 Aberrations in Wound Healing.mp4,2.44,0.04
607,08 Pathology 51h57m,01 Pathophysiology-Dr. Barone,17 Connective Tissue Components.mp4,3.32,0.06
608,08 Pathology 51h57m,01 Pathophysiology-Dr. Barone,18 Edema.mp4,6.58,0.11
609,08 Pathology 51h57m,01 Pathophysiology-Dr. Barone,19 Hematosis and Bleeding Disorders.mp4,28.91,0.48
610,08 Pathology 51h57m,01 Pathophysiology-Dr. Barone,20 Thrombosis.mp4,10.6,0.18
611,08 Pathology 51h57m,01 Pathophysiology-Dr. Barone,21 Embolism.mp4,13.24,0.22
612,08 Pathology 51h57m,01 Pathophysiology-Dr. Barone,22 Infarction.mp4,6.84,0.11
613,08 Pathology 51h57m,01 Pathophysiology-Dr. Barone,23 Shock.mp4,8.38,0.14
614,08 Pathology 51h57m,02 Genetic Disorders,01 Genetic Disorders - Disorders Involving an Extra Autosome.mp4,11.9,0.2
615,08 Pathology 51h57m,02 Genetic Disorders,02 Genetic Disorders - Disorders Involving Chromosomal Deletions.mp4,1.33,0.02
616,08 Pathology 51h57m,02 Genetic Disorders,03 Genetic Disorders - Disorders Involving Sex Chromosomes.mp4,3.78,0.06
617,08 Pathology 51h57m,02 Genetic Disorders,04 Genetic Disorders - Hermaphroditism.mp4,5.71,0.1
618,08 Pathology 51h57m,02 Genetic Disorders,05 Genetic Disorders - Mendelian Disorders.mp4,4.85,0.08
619,08 Pathology 51h57m,02 Genetic Disorders,06 Genetic Disorders - Autosomal Recessive Disorders.mp4,25.78,0.43
620,08 Pathology 51h57m,02 Genetic Disorders,07 Genetic Disorders - Autosomal Dominant Disorders.mp4,20.94,0.35
621,08 Pathology 51h57m,02 Genetic Disorders,08 Genetic Disorders - X-Linked Recessive Conditions.mp4,3.13,0.05
622,08 Pathology 51h57m,02 Genetic Disorders,09 Genetic Disorders - X-Linked Dominant Conditions.mp4,0.51,0.01
623,08 Pathology 51h57m,02 Genetic Disorders,10 Genetic Disorders - Triplet Repeat Mutations.mp4,2.68,0.04
624,08 Pathology 51h57m,02 Genetic Disorders,11 Genetic Disorders - Genomic Imprinting.mp4,1.95,0.03
625,08 Pathology 51h57m,02 Genetic Disorders,12 Genetic Disorders - Mitochondrial DNA Disorders.mp4,0.8,0.01
626,08 Pathology 51h57m,02 Genetic Disorders,13 Genetic Disorders - Multifactorial Inheritance (Genetic Disorders).mp4,0.38,0.01
627,08 Pathology 51h57m,02 Genetic Disorders-Dr. Barone,01 Disorders Involving an Extra Chromosome.mp4,9.68,0.16
628,08 Pathology 51h57m,02 Genetic Disorders-Dr. Barone,02 Disorders Involving Chromosomal Deletions.mp4,1.11,0.02
629,08 Pathology 51h57m,02 Genetic Disorders-Dr. Barone,03 Disorders Involving Sex Chromosomes.mp4,5.78,0.1
630,08 Pathology 51h57m,02 Genetic Disorders-Dr. Barone,04 Hermaphroditism.mp4,5.51,0.09
631,08 Pathology 51h57m,02 Genetic Disorders-Dr. Barone,05 Mendelian Disorders.mp4,3.09,0.05
632,08 Pathology 51h57m,02 Genetic Disorders-Dr. Barone,06 Autosomal-Recessive Disorders.mp4,22.74,0.38
633,08 Pathology 51h57m,02 Genetic Disorders-Dr. Barone,07 Autosomal-Dominant Disorders.mp4,14.39,0.24
634,08 Pathology 51h57m,02 Genetic Disorders-Dr. Barone,08 Triplet Repeat Mutations.mp4,2.2,0.04
635,08 Pathology 51h57m,02 Genetic Disorders-Dr. Barone,09 Genomic Imprinting.mp4,1.7,0.03
636,08 Pathology 51h57m,03 Immunopathology,01 Immunopathology - Hypersensitivity Reactions.mp4,9.18,0.15
637,08 Pathology 51h57m,03 Immunopathology,02 Immunopathology - Autoimmune Diseases.mp4,26.22,0.44
638,08 Pathology 51h57m,03 Immunopathology,03 Immunopathology - Primary Immune Deficiency Syndromes.mp4,7.8,0.13
639,08 Pathology 51h57m,03 Immunopathology,04 Immunopathology - Secondary Immune Deficiency Syndromes.mp4,36.44,0.61
640,08 Pathology 51h57m,03 Immunopathology-Dr. Barone,01 Autoimmune Diseases.mp4,8.35,0.14
641,08 Pathology 51h57m,03 Immunopathology-Dr. Barone,02 Primary Immune Deficiency Syndromes.mp4,6.67,0.11
642,08 Pathology 51h57m,03 Immunopathology-Dr. Barone,03 Secondary Immune Deficiency Syndromes.mp4,17.23,0.29
643,08 Pathology 51h57m,04 Amyloidosis,01 Amyloidosis - Definition (Amyloidosis).mp4,2.44,0.04
644,08 Pathology 51h57m,04 Amyloidosis,02 Amyloidosis - Systemic Types of Amyloid.mp4,4.16,0.07
645,08 Pathology 51h57m,04 Amyloidosis,03 Amyloidosis - Localized Types of Amyloid.mp4,2.17,0.04
646,08 Pathology 51h57m,04 Amyloidosis,04 Amyloidosis - Clinical Features.mp4,2.73,0.05
647,08 Pathology 51h57m,04 Amyloidosis-Dr. Barone,01 Definition.mp4,0.35,0.01
648,08 Pathology 51h57m,04 Amyloidosis-Dr. Barone,02 Common Features of Amyloid.mp4,1.63,0.03
649,08 Pathology 51h57m,04 Amyloidosis-Dr. Barone,03 Composition of Amyloid.mp4,0.67,0.01
650,08 Pathology 51h57m,04 Amyloidosis-Dr. Barone,04 Systemic Types of Amyloid.mp4,2.92,0.05
651,08 Pathology 51h57m,04 Amyloidosis-Dr. Barone,05 Localized Types of Amyloid.mp4,2.83,0.05
652,08 Pathology 51h57m,04 Amyloidosis-Dr. Barone,06 Clinical Features.mp4,2.37,0.04
653,08 Pathology 51h57m,05 Neoplasia,01 Principles of Neoplasia - Definition (Principles of Neoplasia).mp4,1.65,0.03
654,08 Pathology 51h57m,05 Neoplasia,02 Principles of Neoplasia - Epidemiology.mp4,9.83,0.16
655,08 Pathology 51h57m,05 Neoplasia,03 Principles of Neoplasia - Carcinogenic Agents.mp4,11.93,0.2
656,08 Pathology 51h57m,05 Neoplasia,04 Principles of Neoplasia - Carcinogenisis.mp4,16.08,0.27
657,08 Pathology 51h57m,05 Neoplasia,05 Principles of Neoplasia - Diagnosis of Cancer.mp4,25.34,0.42
658,08 Pathology 51h57m,05 Neoplasia-Dr. Barone,01 Epidemiología.mp4,5.73,0.1
659,08 Pathology 51h57m,05 Neoplasia-Dr. Barone,02 Carcinogenic Agents.mp4,8.86,0.15
660,08 Pathology 51h57m,05 Neoplasia-Dr. Barone,03 Carcinogenesis.mp4,14.13,0.24
661,08 Pathology 51h57m,05 Neoplasia-Dr. Barone,04 Diagnosis of Cancer.mp4,16.46,0.27
662,08 Pathology 51h57m,06 Skin,01 Skin Pathology - Disorders of Pigmentation.mp4,9.11,0.15
663,08 Pathology 51h57m,06 Skin,02 Skin Pathology - Melanocytic Tumors.mp4,12.74,0.21
664,08 Pathology 51h57m,06 Skin,03 Skin Pathology - Epidermal and Dermal Lesions.mp4,22.55,0.38
665,08 Pathology 51h57m,06 Skin,04 Skin Pathology - Malignant Tumors.mp4,14.79,0.25
666,08 Pathology 51h57m,06 Skin-Dr. Barone,01 Disorders of Pigmentation.mp4,2.87,0.05
667,08 Pathology 51h57m,06 Skin-Dr. Barone,02 Melanocytic Tumors.mp4,10.16,0.17
668,08 Pathology 51h57m,06 Skin-Dr. Barone,03 Epidermal and Dermal Lesions.mp4,12.87,0.21
669,08 Pathology 51h57m,06 Skin-Dr. Barone,04 Malignant Tumors.mp4,13.17,0.22
670,08 Pathology 51h57m,07 Anemias,01 Red Blood Cell Pathology_ Anemias - Red Blood Cell Morphology.mp4,13.52,0.23
671,08 Pathology 51h57m,07 Anemias,02 Red Blood Cell Pathology_ Anemias - Anemias.mp4,11.94,0.2
672,08 Pathology 51h57m,07 Anemias,03 Red Blood Cell Pathology_ Anemias - Microcytic Anemias.mp4,19.01,0.32
673,08 Pathology 51h57m,07 Anemias,04 Red Blood Cell Pathology_ Anemias - Normocytic Anemias.mp4,28.74,0.48
674,08 Pathology 51h57m,07 Anemias,05 Red Blood Cell Pathology_ Anemias - Macrocytic Anemias.mp4,7.34,0.12
675,08 Pathology 51h57m,07 Anemias,06 Red Blood Cell Pathology_ Anemias - Polycythemia Vera.mp4,4.4,0.07
676,08 Pathology 51h57m,07 Anemias-Dr. Barone,01 Red Blood Cell Morphology.mp4,7.74,0.13
677,08 Pathology 51h57m,07 Anemias-Dr. Barone,02 Anemias.mp4,6.31,0.11
